-----------------------Date: 2021/05/01 01:29:50-----------------------
[epoch:   1/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.211765, unknown loss: 0.032143, tar: 0.010853 
[epoch:   2/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.139845, unknown loss: 0.021104, tar: 0.006104 
[epoch:   3/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.129860, unknown loss: 0.019026, tar: 0.005593 
[epoch:   4/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.117331, unknown loss: 0.016826, tar: 0.004925 
[epoch:   5/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.112754, unknown loss: 0.016268, tar: 0.004608 
[epoch:   6/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.114216, unknown loss: 0.016581, tar: 0.004693 
[epoch:   7/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.105106, unknown loss: 0.014952, tar: 0.004183 
[epoch:   8/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.102010, unknown loss: 0.014384, tar: 0.003971 
[epoch:   9/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.118313, unknown loss: 0.016462, tar: 0.005216 
[epoch:  10/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.107356, unknown loss: 0.014804, tar: 0.004396 
[epoch:  11/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.107105, unknown loss: 0.014422, tar: 0.004536 
[epoch:  12/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.104078, unknown loss: 0.014517, tar: 0.004050 
[epoch:  13/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.096364, unknown loss: 0.013177, tar: 0.003675 
[epoch:  14/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.095608, unknown loss: 0.013058, tar: 0.003691 
[epoch:  15/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.094186, unknown loss: 0.012781, tar: 0.003529 
[epoch:  16/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.089769, unknown loss: 0.012050, tar: 0.003324 
[epoch:  17/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.087158, unknown loss: 0.011601, tar: 0.003189 
[epoch:  18/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.090171, unknown loss: 0.012234, tar: 0.003348 
[epoch:  19/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.091610, unknown loss: 0.012283, tar: 0.003525 
[epoch:  20/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.085362, unknown loss: 0.011336, tar: 0.003085 
[epoch:  21/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.098992, unknown loss: 0.013017, tar: 0.004172 
[epoch:  22/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.091671, unknown loss: 0.012111, tar: 0.003389 
[epoch:  23/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.084272, unknown loss: 0.010898, tar: 0.003067 
[epoch:  24/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.105562, unknown loss: 0.013875, tar: 0.004585 
[epoch:  25/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.084897, unknown loss: 0.011042, tar: 0.003069 
[epoch:  26/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.089052, unknown loss: 0.011781, tar: 0.003266 
[epoch:  27/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.085731, unknown loss: 0.011318, tar: 0.003085 
[epoch:  28/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.082521, unknown loss: 0.010745, tar: 0.002957 
[epoch:  29/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.080775, unknown loss: 0.010300, tar: 0.002854 
[epoch:  30/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.085005, unknown loss: 0.010865, tar: 0.003286 
[epoch:  31/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.091658, unknown loss: 0.012252, tar: 0.003509 
[epoch:  32/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.081477, unknown loss: 0.010449, tar: 0.002900 
[epoch:  33/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.086795, unknown loss: 0.011311, tar: 0.003326 
[epoch:  34/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.085712, unknown loss: 0.011011, tar: 0.003155 
[epoch:  35/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.079157, unknown loss: 0.010025, tar: 0.002779 
[epoch:  36/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.077692, unknown loss: 0.009810, tar: 0.002703 
[epoch:  37/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.078882, unknown loss: 0.009926, tar: 0.002823 
[epoch:  38/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.079311, unknown loss: 0.010312, tar: 0.002794 
